Source ID,Date,Time (UTC),Affiliation,SNAP deduced,SNAP certain,NFR code,Latitude,Longitude,Wind dir.,Wind (m/s),Met. Location,Source type,Sampling method,Location,City,Region,Country,Continent,Campaign,Sample Receptacle,Field comment,Measurement type,Measurement lab,n d13C,Source d13C VPDB [‰],+-,r2 d13C,x(CH4) excess d13C [ppb],+-,n dD,Source dD SMOW [‰],+-,r2 dD,x(CH4) excess dD [ppb],+-,Regression method
ESR9_201,18/10/2019,nan,RHUL/UU,Fossil fuel,Unknown,1B2,44.37800400,26.26566000,nan,nan,nan,Oil,"Mobile inlet, car",Glina oil park,Bucharest,Bucharest,Romania,Europe,ROMEO-City,SKC Flexfoil bags,nan,IRMS,UU,2,-48.79,0.3259,1,951.57,0.11165,2,-225.4,6.053,1,1210.83,0.10253,BSCE Bisector
ESR8_295,16/10/2019,nan,RUG,Fossil fuel,Fossil fuel,1B2,44.90070000,25.33150000,nan,nan,nan,Oil well,"Mobile aircore, drone","ROM 3578, C6_07",Târgoviște,Wallachia,Romania,Europe,ROMEO,Supelco Flexfoil bags,nan,IRMS,UU,3,-50.85,0.9692,0.534768842,244.22,12.09,3,-225.0,7.365779378,0.999451531,269.2,11.66,ODR
ESR8_224,03/10/2019,nan,UHEI,Fossil fuel,Fossil fuel,1B2,44.95664900,25.76357900,nan,nan,nan,Gas well,"Mobile aircore, car","ROM2563, C6_01",Mărginenii de Jos,Wallachia,Romania,Europe,ROMEO,Supelco/SKC Flexfoil bags,nan,IRMS,UU,2,-64.40,0.0465,1,11855.78213,47.3,2,-224.9,0.714799029,1,11639.61394,424.12,ODR
ESR8_265,09/10/2019,12:41,UU,Fossil fuel,Fossil fuel,1B2,44.97781300,25.63168900,W,nan,nan,Oil facilities,"Mobile inlet, car","unknown facility, C6_03",Moreni,Wallachia,Romania,Europe,ROMEO,Supelco/SKC Flexfoil bags,nan,IRMS,UU,3,-66.50,0.0229,0.999150319,12990.28288,6.85,3,-224.1,0.768771927,0.993464977,12813.46168,35.56,ODR
ESR8_237,05/10/2019,nan,UHEI,Fossil fuel,Fossil fuel,1B2,44.83337000,24.77477000,nan,nan,nan,Oil well,"Mobile aircore, car","ROM3629, C4_02",Moșoaia,Wallachia,Romania,Europe,ROMEO,Supelco/SKC Flexfoil bags,nan,IRMS,UU,3,-48.10,0.1002,0.047025228,1008.23,7.56,3,-223.8,5.145530842,0.999517059,965.52,4.84,ODR
ESR8_212,01/10/2019,15:12,UU,Fossil fuel,Fossil fuel,1B2,44.94913500,25.77005000,nan,nan,nan,Ground leak,"Mobile inlet, on foot",C6_01,Mărginenii de Jos,Wallachia,Romania,Europe,ROMEO,Supelco/SKC Flexfoil bags,nan,IRMS,UU,2,-65.34,0.0502,1,575993.1,6.3,2,-223.3,1.264561035,1,590311.25,2.6,ODR
ESR8_310,17/10/2019,nan,UU,Fossil fuel,Unknown,1B2,46.01994625,24.92718007,E,nan,nan,Oil and gas facilities,"Mobile aircore, aircraft, raster flights",C16,Transylvania,Transylvania,Romania,Europe,ROMEO,Supelco Flexfoil bags,nan,IRMS,UU,4,-62.28,1.4552,0.944016335,125.45,2.31,4,-223.0,35.4820303,0.879895617,137.91,23.65,ODR
ESR8_217,01/10/2019,15:24,UU,Fossil fuel,Fossil fuel,1B2,44.95820600,25.77737900,nan,nan,nan,Gas well,"Mobile inlet, car","ROM2090, C6_01",Filipeștii de Târg,Wallachia,Romania,Europe,ROMEO,Supelco/SKC Flexfoil bags,nan,IRMS,UU,3,-64.36,1.9887,0.578051917,4525.053302,22.4,3,-221.8,0.98258749,0.997467456,4915.938241,17.45,BSCE Bisector
ESR8_211,01/10/2019,09:40,UU,Fossil fuel,Fossil fuel,1B2,44.93840900,25.86006800,nan,nan,nan,Oil well,"Mobile inlet, car","ROM2683, C7_01",Aricestii Rahtivani,Wallachia,Romania,Europe,ROMEO,Supelco/SKC Flexfoil bags,nan,IRMS,UU,3,-49.79,0.0026,-0.714895459,29743.13828,3.96,3,-221.7,0.574471253,0.842942432,29870.0068,14.52,ODR
ESR8_276,12/10/2019,nan,RUG,Fossil fuel,Fossil fuel,1B2,44.87170000,25.64650000,nan,nan,nan,Oil well,"Mobile aircore, drone","ROM 739, C6_05",Târgoviște,Wallachia,Romania,Europe,ROMEO,Supelco Flexfoil bags,nan,IRMS,UU,4,-54.94,0.2311,0.923732628,1625.136933,13,4,-221.6,2.783264095,0.99984735,1633.884211,14.33,ODR
ESR8_138,20/03/2019,nan,UU/AGH,Fossil fuel,Fossil fuel,1B2,50.04606800,19.79901400,WNW,nan,nan,Rural area,"Mobile inlet, car",Lewiatan,Kryspinów,Krakow,Poland,Europe,Secondment ESR8 @AGH,Supelco Flexfoil bags,nan,IRMS,UU,3,-52.62,0.0092,0.986686317,10737.9,29.84,3,-221.3,1.308500257,0.998346673,11763.42802,160.2058347,ODR
ESR8_210,30/09/2019,16:24,UU,Fossil fuel,Fossil fuel,1B2,44.95952700,25.87644700,nan,nan,nan,Oil well,"Mobile inlet, car","ROM4080, C7_01",Buda,Wallachia,Romania,Europe,ROMEO,Supelco/SKC Flexfoil bags,nan,IRMS,UU,5,-51.87,0.0419,0.693373495,2342.100475,22.55,5,-220.8,1.467619659,0.99255831,2412.252568,41.91,ODR
ESR8_253,08/10/2019,14:25,UU,Fossil fuel,Fossil fuel,1B2,45.02316000,26.04980000,nan,nan,nan,Oil well,"Mobile inlet, car","ROM1502, C7_02",Boldești-Scăeni,Wallachia,Romania,Europe,ROMEO,Supelco/SKC Flexfoil bags,nan,IRMS,UU,3,-48.00,0.2915,0.137702488,569.16,14.09,3,-220.6,3.144797405,0.898633438,572.12,3.04,ODR
ESR9_194,16/10/2019,nan,RHUL/UU,Fossil fuel,Fossil fuel,1B2,44.39469367,26.05118433,nan,nan,nan,Urban streets,"Mobile inlet, car","Str Caracal-1,2,3",Bucharest,Bucharest,Romania,Europe,ROMEO-City,SKC Flexfoil bags,nan,IRMS,UU,4,-47.69,0.1983,0.807455141,2051.015293,0.00584,4,-219.9,1.06,0.992218162,2045.772137,0.00916,BSCE Bisector
ESR8_213,01/10/2019,14:50,UU,Fossil fuel,Fossil fuel,1B2,44.95092600,25.76969400,nan,nan,nan,Oil well,"Mobile inlet, car","ROM203, C6_01",Mărginenii de Jos,Wallachia,Romania,Europe,ROMEO,Supelco/SKC Flexfoil bags,nan,IRMS,UU,2,-47.69,0.1942,1,2326.195041,17.82,2,-219.0,1.031268475,1,2417.322172,38.94,ODR
ESR8_267,10/10/2019,nan,RUG,Fossil fuel,Fossil fuel,1B2,44.95390000,25.77730000,nan,nan,nan,Oil park,"Mobile aircore, drone","ROM 5688, C6_01",Târgoviște,Wallachia,Romania,Europe,ROMEO,Supelco Flexfoil bags,nan,IRMS,UU,3,-45.12,1.3550,0.407248517,201.43,20,3,-218.9,20.00553116,0.993374407,191.1,20,ODR
ESR8_283,13/10/2019,nan,RUG,Fossil fuel,Fossil fuel,1B2,44.87960000,25.63540000,nan,nan,nan,Oil well,"Mobile aircore, drone","ROM 619, C6_05",Târgoviște,Wallachia,Romania,Europe,ROMEO,Supelco Flexfoil bags,nan,IRMS,UU,3,-42.80,0.5136,0.745808226,637.561332,20,3,-217.9,7.292721528,0.986042135,623.184562,20,ODR
ESR8_136,19/03/2019,nan,UU/AGH,Fossil fuel,Unknown,1B2,50.05707000,19.89873700,W,nan,nan,City streets,"Mobile inlet, car",Vlastimila Hofmana,Krakow,Krakow,Poland,Europe,Secondment ESR8 @AGH,Supelco Flexfoil bags,nan,IRMS,UU,4,-50.71,0.3069,0.335672412,559.57,24.46,4,-217.7,6.20484676,0.990131746,529.43,5.93,ODR
ESR8_304,17/10/2019,nan,UU,Unknown,Unknown,nan,44.99491899,25.56433450,E,nan,nan,Wide area,"Mobile aircore, aircraft",C6-bisbis,Târgoviște,Wallachia,Romania,Europe,ROMEO,Supelco Flexfoil bags,nan,IRMS,UU,3,-53.99,0.8117,0.946668613,210.45,3.67,3,-217.6,24.90521733,0.991994314,211.29,24.28,ODR
ESR8_61,19/07/2018,nan,UU,Oceans,Oceans,nan,52.35995000,3.34199000,nan,nan,nan,Marine seap,"Surface chamber, ship",Dutch coast,North Sea,,The Netherlands,Europe,Nogepa,Glass flasks/Supelco Flexfoil bags,nan,IRMS,UU,3,-46.48,0.4982,0.864385164,504.81,15.97,3,-217.5,17.59324752,0.988464872,514.89,27.95,ODR
ESR9_192,16/10/2019,nan,RHUL/UU,Fossil fuel,Fossil fuel,1B2,44.39807800,26.04858800,nan,nan,nan,Urban streets,"Mobile inlet, car",Șoseaua București-Măgurele,Bucharest,Bucharest,Romania,Europe,ROMEO-City,SKC Flexfoil bags,nan,IRMS,UU,3,-46.00,0.0187,0.947330168,495.13,0.00295,3,-216.7,0.3411,0.997469027,499.64,0.0078,BSCE Bisector
ESR8_47,29/06/2018,13:20:00,UU,Oceans,Oceans,nan,55.30592000,4.08925000,nan,nan,nan,Marine seap,"Surface chamber, ship",Dogger bank,North Sea,,The Netherlands/UK,Europe,Pelagia,Glass flasks/Supelco Flexfoil bags,nan,IRMS,UU,4,-80.37,0.0708,0.999602145,176916.76,451.86,4,-216.1,2.951779926,0.999637601,132883.87,571.5,ODR
ESR8_123,28/02/2019,nan,LSCE/RHUL/UHEI,Fossil fuel,Fossil fuel,1B2,48.95396000,1.64070000,nan,nan,nan,Gas compressor station,"Mobile inlet, car","GRTgaz, route de Mantes",Favrieux,Île-de-France,France,Europe,Secondment ESR1 ESR9 @LSCE,SKC Flexfoil & Tedlar bags,nan,IRMS,UU,4,-44.35,0.6049,0.820484286,216.57,3.07,4,-215.2,18.73446198,0.697424577,202.73,13.49,ODR
ESR8_236,05/10/2019,nan,UHEI,Fossil fuel,Fossil fuel,1B2,44.82451000,24.79421000,nan,nan,nan,Oil well,"Mobile aircore, car","ROM731, C4_02",Moșoaia,Wallachia,Romania,Europe,ROMEO,Supelco/SKC Flexfoil bags,nan,IRMS,UU,3,-42.13,0.0436,0.668482684,89058.41,1.08,3,-214.9,0.778535694,0.988885437,92353.6,5.86,ODR
ESR8_223,03/10/2019,nan,UU,Fossil fuel,Unknown,1B2,44.83654977,25.21342309,E,nan,nan,Oil and gas facilities,"Mobile aircore, aircraft, raster flights",C4,Pitești,Wallachia,Romania,Europe,ROMEO,Supelco Flexfoil bags,nan,IRMS,UU,9,-57.69,0.3781,0.053219052,176.585765,0.612600001,9,-214.7,17.94556109,0.785019538,201.25284,10.777,ODR
ESR8_129,01/03/2019,nan,LSCE/RHUL/UHEI,Waste,Waste,5A,49.02446000,2.41243000,nan,nan,nan,Active landfill,"Mobile inlet, car",Veolia recyclage,Bouqueval,Île-de-France,France,Europe,Secondment ESR1 ESR9 @LSCE,SKC Flexfoil bags,nan,IRMS,UU,6,-56.75,0.0791,0.986497111,679.57,7.61,6,-214.2,2.711313841,0.953404911,655.673118,17.94977136,ODR
ESR8_311,19/10/2019,14:20,UU,Fossil fuel,Fossil fuel,1B2,44.95407900,25.77724900,nan,nan,nan,Oil park,"Mobile inlet, car","ROM5688, C6_01",Filipeștii de Târg,Wallachia,Romania,Europe,ROMEO,Supelco/SKC Flexfoil bags,nan,IRMS,UU,3,-48.93,0.0532,0.143760957,4121.935403,9.94,3,-214.1,0.867891294,0.979742823,4018.133099,27.04,ODR
ESR8_153,22/03/2019,nan,UU/AGH,Fossil fuel,Fossil fuel,1B1a,49.99470800,18.65207100,nan,nan,nan,Rural area,"Mobile inlet, car",Borynia V & VI,Jastrzębie Zdrój,Silesia,Poland,Europe,Secondment ESR8 @AGH,Supelco Flexfoil bags,nan,IRMS,UU,4,-51.42,0.2823,0.914193933,750.86,0.9,4,-213.8,4.527074816,0.959938235,775.200097,9.255572045,ODR
ESR8_312,19/10/2019,10:55,UU,Fossil fuel,Fossil fuel,1B2,45.03553400,25.83520700,nan,nan,nan,Oil well,"Mobile inlet, car","ROM2423, C7_04",Băicoi,Wallachia,Romania,Europe,ROMEO,Supelco/SKC Flexfoil bags,nan,IRMS,UU,2,-49.78,0.0941,1,1733,3.91,2,-211.9,1.947332707,1,1581.72,3.51,ODR
ESR9_190,16/10/2019,nan,RHUL/UU,Fossil fuel,Fossil fuel,1B2,44.41181600,26.07776500,nan,nan,nan,Urban streets,"Mobile inlet, car",Str Vedea,Bucharest,Bucharest,Romania,Europe,ROMEO-City,SKC Flexfoil bags,nan,IRMS,UU,2,-45.38,0.0047,1,510.86,0.00381,2,-211.7,0.01871,1,504.95,0.00157,BSCE Bisector
ESR8_302,17/10/2019,nan,UHEI,Fossil fuel,Fossil fuel,1B2,44.55917000,23.54180000,nan,nan,nan,Gas well,"Mobile aircore, car","ROM2152, C2_04",Filiași,Wallachia,Romania,Europe,ROMEO,Supelco/SKC Flexfoil bags,nan,IRMS,UU,3,-61.26,0.0949,0.999040133,765.58,7.96,3,-211.3,4.952896784,0.971485445,753.34,6.99,ODR
ESR8_331,19/10/2019,13:34,UU,Fossil fuel,Fossil fuel,1B2,45.14113300,25.83254800,nan,nan,nan,Rural area,"Mobile inlet, car","In the village, C7",Buștenari,Wallachia,Romania,Europe,ROMEO,Supelco/SKC Flexfoil bags,nan,IRMS,UU,3,-41.46,0.0794,0.77497722,3108.103216,4.52,3,-210.7,0.825400747,0.882867469,3062.48627,40.92,ODR
ESR8_132,19/03/2019,nan,UU/AGH,Fossil fuel,Unknown,1B2,49.97961111,19.98981400,W,nan,nan,Rural area,"Mobile inlet, car",Barycz landfill,Soboniowice,Krakow,Poland,Europe,Secondment ESR8 @AGH,Supelco Flexfoil bags,nan,IRMS,UU,4,-50.20,0.1436,0.954232168,1162.34,27.99,4,-210.4,3.467204154,0.963838379,1092.42,17.23,ODR
ESR8_252,08/10/2019,15:09,UU,Fossil fuel,Fossil fuel,1B2,45.02281000,26.04950000,nan,nan,nan,Oil well,"Mobile inlet, car","ROM2461, C7_02",Boldești-Scăeni,Wallachia,Romania,Europe,ROMEO,Supelco/SKC Flexfoil bags,nan,IRMS,UU,2,-51.04,0.0357,1,16209.46888,15.91,2,-210.4,1.831287141,1,16417.33752,5.17,ODR
ESR8_343,15/10/2019,13:22,UU/INCAS,Fossil fuel,Unknown,1B2,44.92746,26.02464,nan,nan,nan,Urban streets,"Mobile inlet, car","
Str. Bobâlna",Ploiesti,Prahova,Romania,Europe,ROMEO,Supelco/SKC Flexfoil bags,nan,IRMS,UU,2,-58.1363663,1.353156165,1,133.06,2.96,2,-209.5247799,11.62039766,1,133.79,2.81,ODR
ESR8_277,12/10/2019,nan,RUG,Fossil fuel,Fossil fuel,1B2,44.87400000,25.64150000,nan,nan,nan,Oil well,"Mobile aircore, drone","ROM 4412, C6_05",Târgoviște,Wallachia,Romania,Europe,ROMEO,Supelco Flexfoil bags,nan,IRMS,UU,3,-55.94,0.1454,0.991492303,5488.51,13,2,-209.2,2.350556918,1,4751.36,14.33,ODR
ESR8_259,09/10/2019,09:58,UU,Fossil fuel,Fossil fuel,1B2,44.95298700,25.57315000,W,nan,nan,Oil well,"Mobile inlet, car","ROM1200, C6_03",Gura Ocniței,Wallachia,Romania,Europe,ROMEO,Supelco/SKC Flexfoil bags,nan,IRMS,UU,3,-37.26,0.0938,-0.224322491,3197.334064,15.27,3,-207.2,2.517459767,0.999465145,3175.973482,31.26,ODR
ESR8_135,19/03/2019,nan,UU/AGH,Fossil fuel,Unknown,1B2,50.04755000,19.89579000,W,nan,nan,Waste disposal,"Mobile inlet, car",Wodociągowa,Krakow,Krakow,Poland,Europe,Secondment ESR8 @AGH,Supelco Flexfoil bags,nan,IRMS,UU,4,-50.98,0.0784,0.965576241,1502.98,8.7,4,-206.8,6.023320685,0.997718128,1463.868445,109.2148295,ODR
ESR8_279,13/10/2019,11:20,UU,Fossil fuel,Fossil fuel,1B2,44.36321000,25.31944600,nan,nan,nan,Oil well,"Mobile inlet, car","ROM3008, C5a_03",Siliștea,Wallachia,Romania,Europe,ROMEO,Supelco/SKC Flexfoil bags,nan,IRMS,UU,2,-60.11,0.0516,1,9320.35193,17.94,2,-206.3,2.365270358,1,9586.35917,14.71,ODR
ESR8_289,14/10/2019,nan,RUG,Fossil fuel,Fossil fuel,1B2,44.96050000,25.43120000,nan,nan,nan,Oil well,"Mobile aircore, drone","ROM 3927, C6_06",Târgoviște,Wallachia,Romania,Europe,ROMEO,Supelco Flexfoil bags,nan,IRMS,UU,4,-51.74,0.1764,0.870914939,2745.954943,13,4,-206.2,1.540679126,0.996947823,2793.322212,12.9,ODR
ESR8_226,03/10/2019,nan,AGH,Fossil fuel,Fossil fuel,1B2,45.03630890,25.88955768,nan,nan,nan,Oil well,"Mobile inlet, car","ROM1540, C7_03",Băicoi,Wallachia,Romania,Europe,ROMEO,Supelco/SKC Flexfoil bags,nan,IRMS,UU,2,-22.43,0.0400,1,11739723.88,15.76,2,-205.8,2.610468444,1,12140421.86,8.88,ODR
ESR8_140,20/03/2019,nan,UU/AGH,Fossil fuel,Fossil fuel,1B2,50.06694300,19.91287200,WNW,nan,nan,Network gas,Gas supply pipe,AGH lab gas ,Krakow,Krakow,Poland,Europe,Secondment ESR8 @AGH,Supelco Flexfoil bags,nan,IRMS,UU,2,-44.10,0.1768,1,949997933.4,5000012.58,2,-205.1,0.250000505,1,949997925.3,14.65583473,ODR
ESR8_80,08/11/2018,nan,UU,Fossil fuel,Unknown,1B2,53.56313950,9.98627020,S,nan,nan,City streets,"Mobile inlet, car",Edmund-Siemers Allee,Hamburg,Hamburg,Germany,Europe,CCAC,Supelco Flexfoil bags,nan,IRMS,UU,3,-41.29,0.2962,0.990933527,1393.510725,32.6069816,3,-205.0,2.5250437,0.986024532,1584.85,15.56,ODR
ESR8_345,15/10/2019,12:20,UU/INCAS,Fossil fuel,Unknown,1B2,44.943528,26.004893,nan,nan,nan,Urban streets,"Mobile inlet, car",Str. Daciei,Ploiesti,Prahova,Romania,Europe,ROMEO,Supelco/SKC Flexfoil bags,nan,IRMS,UU,3,-56.20476355,1.319884853,0.855958773,173.28,13.7,3,-204.5646014,9.964167794,0.994164987,175.48,5.74,ODR
ESR8_149,21/03/2019,nan,UU/AGH,Fossil fuel,Fossil fuel,1B2,50.13344800,19.96700300,nan,nan,nan,Gas station,"Mobile inlet, car",BP station,Warszawska,Krakow,Poland,Europe,Secondment ESR8 @AGH,Supelco Flexfoil bags,nan,IRMS,UU,3,-51.64,0.0609,0.965122734,8835.7,30.3,3,-204.5,0.827958475,0.900171927,9714.708023,25.06583473,ODR
ESR8_150,22/03/2019,nan,UU/AGH,Fossil fuel,Fossil fuel,1B1a,49.97292900,18.73942700,nan,nan,nan,Active coal mine,"Mobile inlet, car",Pniówek V,Pawłowice,Silesia,Poland,Europe,Secondment ESR8 @AGH,Supelco Flexfoil bags,nan,IRMS,UU,4,-48.02,0.2105,-0.060096277,533.38,1.96,4,-204.0,12.1825171,0.992127218,540.6,20.38,ODR
ESR8_214,01/10/2019,14:40,UU,Fossil fuel,Fossil fuel,1B2,44.95197900,25.77181100,nan,nan,nan,Oil well,"Mobile inlet, car","ROM148, C6_01",Mărginenii de Jos,Wallachia,Romania,Europe,ROMEO,Supelco/SKC Flexfoil bags,nan,IRMS,UU,3,-54.10,0.2643,0.984028696,1007.25,7.92,3,-203.8,4.35907126,0.985366489,955.8,4.55,ODR
ESR8_23,28/05/2018,nan,UU/AGH,Fossil fuel,Fossil fuel,1B1a,49.96719100,18.68833100,nan,nan,nan,Active coal mine,"Inside the shaft, on foot",Pniówek III,Pawłowice,Silesia,Poland,Europe,CoMet,Supelco Flexfoil bags,nan,IRMS,UU,2,-53.17,0.3504,1,1998000.49,102.53,2,-203.8,0.500511877,1,1997963.63,102.63,ODR
ESR8_262,09/10/2019,10:41,UU,Fossil fuel,Fossil fuel,1B2,44.95508500,25.57065600,W,nan,nan,Oil well,"Mobile inlet, car","ROM2966, C6_03",Gura Ocniței,Wallachia,Romania,Europe,ROMEO,Supelco/SKC Flexfoil bags,nan,IRMS,UU,2,-42.40,0.1277,1,8656.262561,39.92,2,-203.7,0.784874525,1,8925.604646,38.57,ODR
ESR8_261,09/10/2019,11:15,UU,Fossil fuel,Fossil fuel,1B2,44.95381500,25.56149800,W,nan,nan,Unknown (forest),"Mobile inlet, car",C6_03,Gura Ocniței,Wallachia,Romania,Europe,ROMEO,Supelco/SKC Flexfoil bags,nan,IRMS,UU,2,-41.10,0.1957,1,1758.731067,11.7,2,-203.3,4.72659778,1,1757.722861,7.12,ODR
ESR9_196,16/10/2019,nan,RHUL/UU,Fossil fuel,Fossil fuel,1B2,44.39510900,26.05209200,nan,nan,nan,Urban streets,"Mobile inlet, car",Str Câmpia Mierlei,Bucharest,Bucharest,Romania,Europe,ROMEO-City,SKC Flexfoil bags,nan,IRMS,UU,2,-47.50,0.0841,1,1026.1,0.0036,2,-203.3,0.01795,1,994.13,0.00001,BSCE Bisector
ESR8_87,08/11/2018,nan,UU,Fossil fuel,Unknown,1B2,53.63921000,10.04057400,W,nan,nan,City streets,"Mobile inlet, car",Distelweg,Hamburg,Hamburg,Germany,Europe,CCAC,Supelco Flexfoil bags,nan,IRMS,UU,6,-41.88,0.2478,0.99361326,1053.21,9.1,6,-203.1,3.243763889,0.923031121,1140.27,4.93,ODR
ESR8_291,15/10/2019,nan,UHEI,Fossil fuel,Fossil fuel,1B2,44.39161746,23.60071669,nan,nan,nan,Gas well,"Mobile aircore, car","ROM3977, C2_03",Cernătești,Wallachia,Romania,Europe,ROMEO,Supelco/SKC Flexfoil bags,nan,IRMS,UU,3,-58.77,0.0979,0.999970122,6523.85446,15.33,3,-202.3,2.730768994,0.996581469,6686.580347,2.15,ODR
ESR8_120,07/02/2019,nan,UU/AGH,Mixed,Unknown,nan,50.06700100,19.91213400,nan,nan,nan,Sewage network,"Inside manhole, on foot",AGH,Krakow,Krakow,Poland,Europe,Secondment ESR8 @AGH,Supelco Flexfoil bags,nan,IRMS,UU,3,-42.08,0.0432,0.994632713,6614.19,121.34,3,-202.3,1.692588971,0.999265255,7852.12,62.6,ODR
ESR9_182,16/10/2019,nan,RHUL/UU,Fossil fuel,Fossil fuel,1B2,44.43276500,26.16679200,nan,nan,nan,Urban streets,"Mobile inlet, car",Str Bârsei,Bucharest,Bucharest,Romania,Europe,ROMEO-City,SKC Flexfoil bags,nan,IRMS,UU,2,-55.38,0.0001,1,329.39,0.00111,2,-202.1,0.008375,1,332.07,0.00186,BSCE Bisector
ESR8_282,13/10/2019,08:54,UU,Fossil fuel,Fossil fuel,1B2,44.42354200,25.37324900,nan,nan,nan,Oil well,"Mobile inlet, car","ROM4437, C5a_01",Poeni,Wallachia,Romania,Europe,ROMEO,Supelco/SKC Flexfoil bags,nan,IRMS,UU,2,-58.43,0.0090,1,18128.50996,70.28,2,-202.0,1.422774689,1,16734.68783,557.76,ODR
ESR8_21,27/05/2018,nan,UU/AGH,Fossil fuel,Fossil fuel,1B1a,50.00085700,18.60617400,SE,nan,nan,Active coal mine,"Mobile inlet, car",Borynia III,Jastrzębie Zdrój,Silesia,Poland,Europe,CoMet,Supelco Flexfoil bags,nan,IRMS,UU,3,-56.26,0.1484,0.999049478,7997.71,36.89,3,-200.5,3.69933979,0.974209627,4686.34,728.63,ODR
ESR8_144,21/03/2019,nan,UU/AGH,Fossil fuel,Fossil fuel,1B2,50.06708000,19.91206600,nan,nan,nan,Ground leak,"Mobile inlet, on foot",AGH,Krakow,Krakow,Poland,Europe,Secondment ESR8 @AGH,Supelco Flexfoil bags,nan,IRMS,UU,3,-45.35,0.0270,0.9894502,46845.29,62.89,3,-200.2,0.421677574,0.981071441,51481.75802,68.08583473,ODR
ESR8_49,29/06/2018,22:23:00,UU,Oceans,Oceans,nan,55.30641000,4.08980000,nan,nan,nan,Marine seap,"Surface chamber, ship",Dogger bank,North Sea,,The Netherlands/UK,Europe,Pelagia,Glass flasks/Supelco Flexfoil bags,nan,IRMS,UU,5,-81.19,0.0353,0.999717314,144508.05,221.7,5,-199.7,3.695702714,0.993246362,96556.76,800.17,ODR
ESR8_263,09/10/2019,10:56,UU,Fossil fuel,Fossil fuel,1B2,44.95671700,25.56891000,W,nan,nan,Oil well,"Mobile inlet, car","ROM06, C6_03",Gura Ocniței,Wallachia,Romania,Europe,ROMEO,Supelco/SKC Flexfoil bags,nan,IRMS,UU,2,-45.00,0.0638,1,10982.80718,27.42,2,-199.4,1.239947388,1,10865.22226,345.47,ODR
ESR8_338,15/10/2019,14:35:00,UU/INCAS,Fossil fuel,Fossil fuel,1B2,44.94347,26.045195,nan,nan,nan,Urban streets,"Inside gas supply box, on foot",Strada Pielari 76,Ploiesti,Prahova,Romania,Europe,ROMEO,Supelco/SKC Flexfoil bags,nan,IRMS,UU,2,-59.6689837,0.080472729,1,333465.865,3.7,2,-198.3851764,1.357467808,1,355408.348,31.86,ODR
ESR8_266,10/10/2019,nan,UHEI,Fossil fuel,Fossil fuel,1B2,44.29207000,25.44067000,nan,nan,nan,Oil well,"Mobile aircore, car","ROM1126, C5a_04",Sericu,Wallachia,Romania,Europe,ROMEO,Supelco/SKC Flexfoil bags,nan,IRMS,UU,3,-50.80,0.0567,0.994422548,2678.420855,16.99,3,-197.5,3.27524577,0.997871006,2606.67526,15,ODR
ESR9_197,18/10/2019,nan,RHUL/UU,Fossil fuel,Fossil fuel,1B2,44.34115400,26.09051867,nan,nan,nan,Oil storage,"Mobile inlet, car",Jilava oil storage,Bucharest,Bucharest,Romania,Europe,ROMEO-City,SKC Flexfoil bags,nan,IRMS,UU,4,-53.90,0.0606,0.969992706,666.44,0.00341,4,-197.2,0.4122,0.991945306,766.57,0.00153,BSCE Bisector
ESR8_52,01/07/2018,13:37:00,UU,Oceans,Oceans,nan,55.30634000,4.08990000,nan,nan,nan,Marine seap,"Surface chamber, ship",Dogger bank,North Sea,,The Netherlands/UK,Europe,Pelagia,Glass flasks/Supelco Flexfoil bags,nan,IRMS,UU,2,-82.10,0.0711,1,128560.61,156.9,2,-197.2,4.195456625,1,105008.85,1435.8,ODR
ESR8_251,08/10/2019,08:15,UU,Fossil fuel,Fossil fuel,1B2,45.01921900,26.01537900,nan,nan,nan,Gas compressor,"Mobile inlet, car","ROM5783, C7_02",Boldești-Scăeni,Wallachia,Romania,Europe,ROMEO,Supelco/SKC Flexfoil bags,nan,IRMS,UU,3,-49.05,0.0479,-0.25144198,6721.531287,54.97,3,-197.0,1.191912531,0.973315845,6157.327388,71.02,ODR
ESR8_206,18/09/2019,nan,AGH,Fossil fuel,Fossil fuel,1B1a,50.58510900,16.51324600,nan,nan,nan,Coal mining site,Soil chambers,nan,Nowa Ruda,Lower Silesia,Poland,Europe,ESR3,Supelco Flexfoil bags,nan,IRMS,UU,2,-18.28,0.0205,1,104264.98,17.15,2,-197.0,0.479880307,1,104785.18,0.1,ODR
ESR8_108,05/02/2019,nan,UU/AGH,Fossil fuel,Unknown,1B2,50.07547200,20.06319100,WSW,nan,nan,From driving city streets,"Mobile inlet, car",Ujastek Mogilski,Krakow,Krakow,Poland,Europe,Secondment ESR8 @AGH,Supelco Flexfoil bags,nan,IRMS,UU,4,-42.96,0.1588,0.969171252,1240.83,47.52,4,-196.9,4.259931365,0.997751914,1223.31,40.16,ODR
ESR8_203,19/08/2019,nan,AGH,Fossil fuel,Fossil fuel,1B1a,51.32615800,23.00269400,nan,nan,nan,Coal mine shaft,"Mobile inlet, car",Bogdanka,Puchaczów,Lublin,Poland,Europe,ESR3,Supelco Flexfoil bags,nan,IRMS,UU,3,-65.50,0.1221,0.999108369,4378.364458,10.42,3,-196.8,1.84866583,0.989892443,4353.754687,65.85,ODR
